ServicerIdentifier,NoteDate,PropertyValuationEffectiveDate,NoteAmount,CurrentBalance,CurrentInterestRatePercent,ScheduledFirstPaymentDate,LoanMaturityDate,LastPaidInstallmentDueDate,PropertyValuationAmount,LtvRatioPercentCurrent,CreditScoreValueRecent,TimesDq,Dti,CeilingRatePercent,FloorRatePercent,MarginRatePercent,Vintage,TypeProd,StateCode,Cbsa,NoteRatePercent,Age,MonthsUntilRateReset,IsCurrentlyIo,LastPaymentReceivedDate,NextPayDate,MonthsDq,LtvRatioPercent,IsArm,CurrentLtvRange,PaymentType,DelinquencyCategory
Select Portfolio Servicing,8/1/2007,8/1/2007,85500,58239.83,2,8/1/2007,9/1/2037,10/1/2019,543202.033,15.74,638,0,42,0,0,3,2007,Fixed,IL,16980,2,146,0,FALSE,9/21/2019,11/1/2019,0,23.11,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,4/1/2006,4/1/2006,27800,19646.36,5.125,4/1/2006,1/1/2045,10/1/2019,393767.7054,7.06,618,0,42,0,0,3,2006,Fixed,TX,26420,5.125,162,0,FALSE,10/1/2019,11/1/2019,0,9.99,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,7/1/2007,7/1/2007,69500,28804.98,2,7/1/2007,9/1/2027,10/1/2019,687438.18,10.11,749,0,34,0,0,3,2007,Fixed,WI,33340,2,147,0,FALSE,10/1/2019,11/1/2019,0,24.39,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,7/1/2007,7/1/2007,91900,66990.73,2,7/1/2007,7/1/2037,10/1/2019,370415.1552,24.81,688,0,40,0,0,3,2007,Fixed,GA,12060,2,147,0,FALSE,9/1/2019,11/1/2019,0,34.04,FALSE,0.01 - 59.99,NeverBad,Bankruptcy
Select Portfolio Servicing,7/1/2007,7/1/2007,43300,34575.99,6.25,7/1/2007,2/1/2041,10/1/2019,311735.0612,13.89,790,0,34,0,0,3,2007,Fixed,FL,45300,6.25,147,0,FALSE,9/1/2019,11/1/2019,0,17.39,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2007,6/1/2007,85000,60634.98,3.5,6/1/2007,7/1/2037,10/1/2019,1121372.032,7.58,806,0,34,0,0,3,2007,Fixed,CA,34900,3.5,148,0,FALSE,9/1/2019,11/1/2019,0,10.62,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2005,6/1/2005,85000,66632.23,5,6/1/2005,8/1/2041,10/1/2019,704809.2869,12.06,684,0,40,0,0,3,2005,Fixed,CA,47300,5,172,0,FALSE,10/1/2019,11/1/2019,0,15.38,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2007,6/1/2007,25000,18180.14,2,6/1/2007,6/1/2037,10/1/2019,508130.0813,4.92,651,0,42,0,0,3,2007,Fixed,GA,12060,2,148,0,FALSE,8/1/2019,11/1/2019,0,6.76,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2007,6/1/2007,88000,60095,4.25,6/1/2007,10/1/2037,10/1/2019,812557.7101,10.83,679,0,40,0,0,3,2007,Fixed,CA,31080,4.25,148,0,FALSE,9/1/2019,11/1/2019,0,15.86,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,3/1/2005,3/1/2005,27200,21094.55,7.97,3/1/2005,4/1/2035,10/1/2019,175370.7286,15.51,742,0,34,0,0,3,2005,Fixed,OK,46140,7.97,175,0,FALSE,9/1/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2007,6/1/2007,51800,14521.55,8.14,6/1/2007,6/1/2022,10/1/2019,998073.2177,5.19,724,0,40,0,0,3,2007,Fixed,MD,12580,8.14,148,0,FALSE,9/18/2019,11/1/2019,0,18.5,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2007,6/1/2007,75000,26938.88,8.89,6/1/2007,7/1/2027,10/1/2019,598563.4477,12.53,736,0,40,0,0,3,2007,Fixed,NJ,37980,8.89,148,0,FALSE,9/1/2019,11/1/2019,0,34.88,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2007,6/1/2007,51900,44144.2,10.94,6/1/2007,6/1/2037,10/1/2019,305114.6384,17.01,652,0,42,0,0,3,2007,Fixed,CA,17020,10.94,148,0,FALSE,8/28/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Current
